G,R,X,Y,UID,GR
Male,Black,0.036990944,0.357556184,1,MB
Male,White,-1.614507026,-0.347560536,2,MW
Male,Black,0.403990493,0.357556184,3,MB
Male,Black,0.403990493,-0.347560536,4,MB
Female,White,0.770990042,1.415231263,5,FW
Male,Black,-0.330008604,0.710114543,6,MB
Male,Black,0.403990493,-1.757793975,7,MB
Male,White,-0.14650883,0.004997824,8,MW
Male,White,0.036990944,0.710114543,9,MW
Male,Black,-1.431007251,-0.347560536,10,MB
Male,Black,0.770990042,-1.405235615,11,MB
Male,Black,0.770990042,0.357556184,12,MB
Male,White,0.770990042,1.415231263,13,MW
Male,Black,-0.513508379,0.710114543,14,MB
Male,Black,-0.14650883,-0.700118895,15,MB
Male,White,-0.697008153,-1.405235615,16,MW
Male,Black,0.220490719,-1.052677255,17,MB
Male,Black,-0.330008604,0.710114543,18,MB
Female,White,0.220490719,0.004997824,19,FW
Male,White,0.770990042,1.062672903,20,MW
Male,Black,-4.000004094,-1.405235615,21,MB
Female,Black,0.587490268,-1.052677255,22,FB
Male,Black,0.587490268,1.415231263,23,MB
Male,White,0.587490268,1.062672903,24,MW
Female,Black,-0.330008604,1.062672903,25,FB
Male,White,-0.697008153,-1.757793975,26,MW
Male,Black,-2.348506124,-1.052677255,27,MB
Male,White,0.770990042,1.062672903,28,MW
Male,Black,-1.981506575,0.004997824,29,MB
Male,Black,0.587490268,0.357556184,30,MB
Male,Black,0.220490719,1.415231263,31,MB
Male,White,-0.513508379,0.004997824,32,MW
Male,Black,0.036990944,0.710114543,33,MB
Male,Black,-2.532005898,-1.757793975,34,MB
Male,White,0.220490719,1.062672903,35,MW
Male,Black,0.587490268,0.357556184,36,MB
Male,Black,0.220490719,-1.405235615,37,MB
Male,Black,-0.330008604,-0.347560536,38,MB
Male,Black,-0.14650883,1.415231263,39,MB
Male,Black,0.770990042,0.357556184,40,MB
Male,Black,0.770990042,0.357556184,41,MB
Male,Black,0.036990944,-0.347560536,42,MB
Male,White,0.587490268,-0.347560536,43,MW
Male,Black,0.587490268,1.062672903,44,MB
Male,Black,0.770990042,0.710114543,45,MB
Female,Black,0.770990042,0.357556184,46,FB
Male,Black,0.770990042,1.062672903,47,MB
Male,Black,-0.513508379,-1.757793975,48,MB
Male,Black,-3.082505221,-1.757793975,49,MB
Male,Black,0.403990493,-1.405235615,50,MB
Female,Black,0.770990042,1.062672903,51,FB
Male,Black,-0.697008153,-0.700118895,52,MB
Male,White,-0.330008604,-1.052677255,53,MW
Male,Black,0.770990042,-0.347560536,54,MB
Male,White,-0.697008153,-1.052677255,55,MW
Male,White,0.587490268,1.415231263,56,MW
Male,Black,0.770990042,0.357556184,57,MB
Male,Black,0.770990042,1.062672903,58,MB
Male,White,-1.064007702,-0.347560536,59,MW
Female,White,0.770990042,0.357556184,60,FW
Male,White,0.770990042,1.415231263,61,MW
Male,Black,0.403990493,-1.405235615,62,MB
Male,White,0.036990944,0.357556184,63,MW
Male,Black,0.036990944,0.004997824,64,MB
Male,Black,0.403990493,1.062672903,65,MB
Male,White,0.770990042,1.062672903,66,MW
Male,Black,-1.064007702,-1.405235615,67,MB
